Nº Série Equip.,Motivo,Probabilidade_Risco
273960149421,Substituir nobreak do balcão que não está segurando carga.,0.9253
BRBSJ7WFM5,Devolução após troca de kit fusor para parar o agarramento de papel.,0.9253
U63980K8N750655,Devolução de multifuncional 1617 Brother após trocar peça quebrada por mau uso.,0.9240
BRBSG19HC0,Substituir temporariamente impressora HP 125a que está atolando papel.,0.9105
273950306127,Substituir nobreak do caixa que não está segurando carga.,0.8988
159700539011,Equipamento devolvido,0.8325
24002959,"Devolução de computador pertencente à baia 5 após formatação, corrigindo, assim, problemas de driver de placa de vídeo.",0.8304
273960131220,Substituir nobreak da máquina do crediário que parou de segurar carga.,0.8197
273960121512,Devolução de nobreak do PDV após troca de fusível externo queimado.,0.8197
H94CN73,"Devolução deste microcomputador da expedição após aumentar RAM, de 4GB para 8GB. (Mandado para lugar errado no CD; retornado.)",0.8195
122217303169,Substituir nobreak que parou de segurar carga.,0.7953
U63885G4X227118,Substituir temporariamente impressora de mesmo modelo após ela ter dado defeito de hardware.,0.7949
BRBSJ7WFM5,Devolução da multifuncional do escritório após revisão: troca de rolo e bucha.,0.7934
6463540073,"Inserção de nobreak em alguma máquina do balcão, pois não há nenhuma com.",0.7885
U63980K8N770064,"Substituir multifuncional HP 1132, que apresenta problemas recorrentes, do crediário. Substituído temporariamente.",0.7839
273950306127,Substituir nobreak que não está segurando carga.,0.7743
BR-0FJ067-07591-873-0DRU,"Retornar para loja após ter sido enviado erroneamente após troca de PC. Segundo Jeferson, é para retornar.",0.7687
273960149421,Substituição de nobreak do estoque que parou de funcionar.,0.7652
KQUI2XA004039,Substituir monitor da baia 5 que ficava dando mau contato.,0.7560
U63885G4X227118,Equipamento devolvido,0.7539
273860084030,Substituir nobreak do balcão que não está segurando carga.,0.7443
