ID Envio,Nº Série Equip.,Placa,Tipo,Modelo,Origem,Loja Destino (ID),Motivo,Data Envio,Usuário Envio,,Falha
523,25034597,Sem placa,Leitor de código de barras,Elgin Bematech EL 250,999,53,Inserção de leitor de código de barras para gerente.,2025-11-21,root@localhost,,
522,273950286574,Sem placa,Nobreak,SMS Station II uST600S BI,2,53,Inserção de nobreak no balção de loja nova.,2025-11-21,root@localhost,,
521,165111042243,Sem placa,Estabilizador,SMS Revolution Speedy uSP1.5S 115,2,47,Substituição de estabilizador do balcão que quimou fusível interno.,2025-11-18,root@localhost,,
520,122248410772,Sem placa,Nobreak,APC BACK-UPS 600,17,41,Substituição de nobreak do balcão que não está segurando carga.,2025-11-17,root@localhost,,
519,4GBS2K2,7907,Minicomputador,Dell OptiPlex 3050,21,21,Devolução de máquina do balccão após troca de HDD para SSD.,2025-11-17,ti04,,
518,23001104,10572,Microcomputador,Elgin Bematech Newera E3 Nano,999,2,Substituição de computador defasado por este.,2025-11-17,root@localhost,,
517,23004887,10573,Microcomputador,Elgin Bematech Newera E3 Nano,999,2,Substituição de computador defasado por este.,2025-11-17,root@localhost,,
516,71S8G22,1123,Minicomputador,Dell OptiPlex 3020,18,1,Devolução de máquina do gerente após troca de fonte queimada.,2025-11-14,root@localhost,,
515,CN-0FJ066-64180-6AU-0D3S,3196,Monitor,Dell E157FPc,11,1,Inserir monitor destinado exclusivamente para o DVR da sala do gerente.,2025-11-14,root@localhost,,
514,6463540073,Sem placa,Nobreak,SMS APC BACK-UP 600,27,1,"Inserção de nobreak em alguma máquina do balcão, pois não há nenhuma com.",2025-11-14,root@localhost,,
513,BRBSGCVQ54,10571,Multifuncional a laser,HP LaserJet Pro MFP M125a,999,28,Inserção de multifuncional para sala do gerente.,2025-11-14,root@localhost,,
512,273960121512,Sem placa,Nobreak,SMS Station II uST600S,6,6,Devolução de nobreak do PDV após troca de fusível externo queimado.,2025-11-14,root@localhost,,
511,BRBSH8TKB4,399,Multifuncional a laser,HP Laser MFP 127fn,999,999,Retorno de multifuncional a laser após revisão.,2025-11-13,root@localhost,,
510,CNB2N46KMS,5772,Multifuncional a laser,HP Laser MFP 137fnw,31,31,Devolução após revisão para sanar problema de não puxar papel.,2025-11-12,ti04,,
509,273960131220,Sem placa,Nobreak,SMS Station II uST600S,2,1,Substituir nobreak da máquina do crediário que parou de segurar carga.,2025-11-12,root@localhost,,
508,122139230005,Sem placa,Nobreak,APC BACK-UPS 600,1,1,Retorno de nobreak do caixa após troca de bateria.,2025-11-11,ti04,,
507,BRBSG19HC4,1966,Impressora,HP P1102w,7,31,Substituir temporariamente multifuncional a laser HP 137.,2025-11-10,root@localhost,,
506,24064465,Sem placa,Leitor de código de barras,Elgin Flash II,999,2,Substituir leitor com fio do balcão que deu problema.,2025-11-10,root@localhost,,
505,99004617,Sem placa,Leitor de código de barras,Elgin Flash II,999,2,Substituir leitor com fio do balcão que deu problema.,2025-11-10,root@localhost,,
504,U63980K8N770064,2019,Multifuncional a laser,Brother DCP-1617NW,1,10,Substituição definitiva de multifuncional a laser de mesmo modelo — esta sera revisada..,2025-11-07,ti04,,
503,U63885G4X228892,10261,Multifuncional a laser,Brother DCP-2540DW,42,26,Substituir temporariamente multifuncional a laser de mesmo modelo até a de lá ser revisada.,2025-11-06,root@localhost,,
502,273960250735,Sem placa,Nobreak,SMS Station II usT600s,2,3,Substituir nobreak do caixa 11 que parou de segurar carga.,2025-11-06,,,
501,I18GN008387,3045,Leitor de código de barras,Bematech Aquila S-3200,6,14,"Substituir leitor fixo/mesa Honeywell da separação que queimou a fonte, pois não se tinha outra fonte.",2025-11-05,root@localhost,,
500,99004612,Sem placa,Leitor de código de barras,Elgin Flash II,999,34,Substituir o leitor de código de berras com fio do balcão que está defeituoso.,2025-11-05,root@localhost,,
498,B6Q8Y02,10507,Notebook,Dell Inspiron 3421,2,34,Inserção de notebook para controle de estacionamento.,2025-11-04,root@localhost,,
496,BRBSG2N8Q9,861,Impressora,HP LaserJet P1102w,18,34,Inserção de impressora não fiscal para computador do estacionamento.,2025-11-04,root@localhost,,
495,4B1206P37910,Sem placa,Nobreak,APC BE400G-BR,4,34,Inserção de nobreak no lugar do estabilizador para máquina do estacionamento.,2025-11-03,root@localhost,,
494,NXMEVAL014448E513C9501,45,Notebook,Acer Aspire E1-572-6_BR800,999,999,Inserção de notebook para nova colaboradora do convênio.,2025-11-03,root@localhost,,
493,273920089207,1110,Nobreak,SMS Station II uST1200 BI,1,1,Retorno de nobreak após troca de bateria para setor de gerência -- PC do gerente e DVR se conectam a ele.,2025-10-31,,,
491,777,777,Impressora não fiscal,Bematech 4000-TH,14,34,Inserção de impressora fiscal para computador de controle do estacionamento.,2025-10-31,root@localhost,,
489,U63980K8N770064,2019,Multifuncional a laser,Brother DCP-1617NW,29,1,"Substituir multifuncional HP 1132, que apresenta problemas recorrentes, do crediário. Substituído temporariamente.",2025-10-30,,,
488,99004611,Sem placa,Leitor de código de baras,Elgin Flash II,999,32,Substituição de leitor manual com fio defeituoso do balcão por esse.,2025-10-31,,,
487,99004616,Sem placa,Leitor de código de baras,Elgin Flash II,999,33,Substituir leitor manual do balcão que está defeituoso.,2025-10-30,root@localhost,,
485,ETLTY0801514606E2D4201,2333,Monitor,Acer P166HQL,1002,44,Substituir o monitor estragado recém enviado da coordenação.,2025-10-30,root@localhost,,
484,U63885H2N419269,4134,Multifuncional a laser,Brother DCP-2540DW,42,42,"Substituir a multifuncional a laser de mesmo modelo -- nova, destinada à 53 -- que substituiu temporariamente esta Brother enquanto estava com problemas.",2025-10-29,,,
483,6467480019,7852,Notebook,APC BACK-UPS 1200 BI,21,33,Substituir nobreak do servidor que não está segurando carga.,2025-10-29,root@localhost,,
482,9GVLPZ2,10,Notebook,Dell Inspiron 15 7000,999,999,Substituição de notebook do TI07 (Juliano).,2025-10-28,root@localhost,,
481,23004799,10544,Microcomputador,Elgin Bematech Newera E3 Nano,999,53,Inserção de naclj53pdv10 para essa nova loja.,2025-10-28,root@localhost,,
480,24004453,10545,Microcomputador,Elgin Bematech Newera E3 Nano,999,53,Inserção de naclj53pdv11 para essa nova loja.,2025-10-28,root@localhost,,
479,01479-20-07951,10562,Relógio de ponto,Control iD,999,53,Inserção de relógio de ponto para essa nova loja.,2025-10-28,root@localhost,,
478,224B2L5000345,10561,Switch,TP-Link TL-SG1024D,999,53,Inserção de swiitch de mesa/hack de 24 portas para servidor.,2025-10-28,root@localhost,,
477,XDDD021502,10570,Impressora não fiscal,Epson TM-T20X-II,999,53,Inserção de impressora não fiscal para PDV para essa nova loja.,2025-10-28,root@localhost,,
476,XDDD021436,10569,Impressora não fiscal,Epson TM-T20X-II,999,53,Inserção de impressora não fiscal para PDV para essa nova loja.,2025-10-28,root@localhost,,
475,XDDD055449,10568,Impressora não fiscal,Epson TM-T20X-II,999,53,Inserção de impressora não fiscal para PDV para essa nova loja.,2025-10-28,root@localhost,,
474,"5,25903610150023E+016",Sem placa,Leitor de código de barras,C3tech LB-W200,999,53,Inserção de leitor de código de barras sem fio para essa nova loja.,2025-10-28,root@localhost,,
473,25001765,Sem placa,Leitor de código de barras,Elgin Bematech EL 250,999,53,Inserção de leitor de código de barras fixo/mesa para caixa para essa nova loja.,2025-10-28,root@localhost,,
472,25001798,Sem placa,Leitor de código de baras,Elgin Bematech EL 250,999,53,Inserção de leitor de código de barras fixo/mesa para caixa para essa nova loja.,2025-10-28,root@localhost,,
471,25034784,Sem placa,Leitor de código de barras,Elgin Bematech EL 250,999,53,Inserção de leitor de código de barras fixo/mesa para caixa para essa nova loja.,2025-10-28,root@localhost,,
470,24053359,Sem placa,Leitor de código de baras,Elgin Flash II,999,53,Inserção de leitor de código de barras com fio para essa nova loja,2025-10-28,,,
469,99004618,Sem placa,Leitor de código de baras,Elgin Flash II,999,53,Inserção de leitor de código de barras com fio para essa nova loja,2025-10-28,,,
468,99004613,Sem placa,Leitor de código de baras,Elgin Flash II,999,53,Inserção de leitor de código de barras com fio para essa nova loja,2025-10-28,,,
467,24064469,Sem placa,Leitor de código de baras,Elgin Flash II,999,53,Inserção de leitor de código de barras com fio para essa nova loja.,2025-10-28,,,
466,99004276,Sem placa,Leitor de código de baras,Elgin Flash II,999,53,Inserção de leitor de código de barras com fio para essa nova loja.,2025-10-28,,,
465,503AZWS52417,10551,Monitor,LG 20MK400H - B,999,53,Inserção de monitor para essa nova loja.,2025-10-28,root@localhost,,
464,503AZDB54210,10553,Monitor,LG 20MK400H - B,999,53,Inserção de monitor para essa nova loja.,2025-10-28,root@localhost,,
463,503AZXC50114,10549,Monitor,LG 20MK400H - B,999,53,Inserção de monitor para essa nova loja.,2025-10-28,root@localhost,,
462,503AZVN54199,10550,Monitor,LG 20MK400H - B,999,53,Inserção de monitor para essa nova loja.,2025-10-28,root@localhost,,
461,412AZRD70030,10547,Monitor,LG 20MK400H - B,999,53,Inserção de monitor para essa nova loja.,2025-10-28,root@localhost,,
460,412AZVN6Z207,10548,Monitor,LG 20MK400H - B,999,53,Inserção de monitor para essa nova loja.,2025-10-28,root@localhost,,
459,412AZKA70045,10546,Monitor,LG 20MK400H - B,999,53,Inserção de monitor para essa nova loja.,2025-10-28,root@localhost,,
458,24011270,10537,Microcomputador,Elgin Bematech Newera E3 Nano,999,53,Inserção de naclj53te01 para essa nova loja.,2025-10-28,root@localhost,,
457,24011735,10538,Microcomputador,Elgin Bematech Newera E3 Nano,999,53,Inserção de naclj53te02 para essa nova loja.,2025-10-28,root@localhost,,
456,23004885,10539,Microcomputador,Elgin Bematech Newera E3 Nano,999,53,Inserção de naclj53te03 para essa nova loja.,2025-10-28,root@localhost,,
455,24011638,10540,Microcomputador,Elgin Bematech Newera E3 Nano,999,53,Inserção de naclj53te04 para essa nova loja.,2025-10-28,root@localhost,,
454,23001097,10541,Microcomputador,Elgin Bematech Newera E3 Nano,999,53,Inserção de naclj53te05 para essa nova loja.,2025-10-28,,,
